127.0.0.1 - - [21/Nov/2017:11:52:09 -0800] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:52:43 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.03665325161869&lon=-118.26036251831056 HTTP/1.1" 200 30516
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:54:55 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:55:43 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:56:05 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:57:02 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:57:53 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:00:19 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:01:38 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:18:14 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:18:46 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:56 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:29:43 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:31:16 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:32:14 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:34:09 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:35:27 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:37:16 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:40:08 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:41:31 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:41:53 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:42:47 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:50:43 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:55:20 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:56:34 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
